-1DE1NuBc3EKfOpEQ6xsHw,Hampshire House,84 Beacon St,Boston,4.5,42,1,122,256,0.32275,42.356023,-71.0710985
-5L9oiePBLNzbNTsbARLUA,CVS Pharmacy,350 Longwood Avenue,Boston,4.0,15,1,40,46,0.46512,42.3385493203,-71.1072590086
-5gWvrcKOPmhlcZju3tpbw,Flour Bakery + Café,12 Farnsworth St,Boston,4.5,1168,1,68,166,0.2906,42.3512305,-71.0487474
-6MLKl8ehMyeZBoYAoikhA,Amory Restaurant,224 Amory St,Jamaica Plain,3.0,6,0,12,76,0.13636,42.3163754,-71.1031654
-ArT0dXRlDup6rRDRhZYWw,Bad Dawgs,334 Massachusetts Ave,Boston,3.5,12,0,2,4,0.33333,42.3425177,-71.0843584
-D1qTCXdH5JnbHn53j1TYA,Ray's Sub Shop,211 Harrison Ave,Boston,4.0,9,0,42,232,0.15328,42.348133,-71.0625214
-Eg1pMVoWg8YR6-O4QuTxw,Fiouna's Persian Fusion Cuisine,90 Peterborough St,Boston,4.0,158,1,60,92,0.39474,42.343415,-71.099013
-GWlNWi0FL6ZyMJyDDa40Q,Sarku Japan,417 Washington St,Boston,3.0,22,1,100,122,0.45045,42.356039,-71.060411
-Ly-ExWbYvrVoVYHsSowSw,Pita Downtown,125 Summer St,Boston,3.0,28,0,2,8,0.2,42.3529989,-71.057489
-MjbdxBDKtI1JYmbP2qxFw,CVS Pharmacy,240 Newbury Street,Boston,3.0,25,1,52,68,0.43333,42.3495,-71.0819
-Qg0OVcQWSqfbTBLmzX75A,Copley Flair,583 Boylston St,Boston,3.5,20,0,8,2,0.8,42.3502818,-71.0766972
-RjSyGMU0wZrpahALI5bMw,Bee's Knees Supply Company,1316 Commonwealth Ave,Allston,3.0,120,0,20,20,0.5,42.3483638,-71.1344138
-S_m_GBqkGEjABeO0FaxzA,State Street Provisions,255 State St,Boston,4.0,520,1,70,72,0.49296,42.3593857,-71.0513553
-TPPnaxqtBUvRLEApMRNdg,Match,94 Massachusetts Ave,Boston,3.0,258,0,30,78,0.27778,42.3483607,-71.0880329
-Tin7CjW4ZdE2uciSWnG0Q,Spukies'n Pizza,1159 Washington St,Dorchester,4.0,41,1,232,442,0.34421,42.2722187463,-71.0688403922
-YYMI55-yFtciCdvO0wz_Q,The Joint,605 Centre St,Boston,4.0,22,1,2,90,0.02174,42.3147363,-71.1142426
-Yt1oOD4xufkz6lIjm_XCA,Crystal,20 Linden St,Allston,2.5,16,1,20,32,0.38462,42.3555024288,-71.1309472693
