-1DE1NuBc3EKfOpEQ6xsHw,Hampshire House,84 Beacon St,Boston,4.5,42,1,244,512,0.32275,42.356023,-71.0710985
-1sIJLX71taHD-BgbwY64Q,Crispy Dough Pizzeria,1514 Tremont St,Boston,3.0,118,1,16,244,0.06154,42.3321636,-71.099604
-4ORLtNklDgq3MbrOU4tGw,The Square Root,2 Corinth St,Boston,4.5,40,1,24,20,0.54545,42.2867992,-71.1304244
-5L9oiePBLNzbNTsbARLUA,CVS Pharmacy,350 Longwood Avenue,Boston,4.0,15,1,80,92,0.46512,42.3385493203,-71.1072590086
-5gWvrcKOPmhlcZju3tpbw,Flour Bakery + Café,12 Farnsworth St,Boston,4.5,1168,1,136,332,0.2906,42.3512305,-71.0487474
-68H1PxpVbAKiIoYjjW1fQ,Ziggy's Coffee Bar,102 Tremont St,Boston,3.5,79,1,32,28,0.53333,42.357137,-71.0609935
-BXIA0X0eQgDVcvSahIbXA,Teavana,800 Boylston St,Boston,2.5,111,0,52,140,0.27083,42.347466,-71.082035
-D1qTCXdH5JnbHn53j1TYA,Ray's Sub Shop,211 Harrison Ave,Boston,4.0,9,0,84,464,0.15328,42.348133,-71.0625214
-Eg1pMVoWg8YR6-O4QuTxw,Fiouna's Persian Fusion Cuisine,90 Peterborough St,Boston,4.0,158,1,120,184,0.39474,42.343415,-71.099013
-Gyr3VSDQnqzdzg-Iv228Q,Lulu's Bake Shoppe,227 Hanover St,Boston,3.5,107,0,204,496,0.29143,42.3629308,-71.055027
-Ly-ExWbYvrVoVYHsSowSw,Pita Downtown,125 Summer St,Boston,3.0,28,0,4,16,0.2,42.3529989,-71.057489
-MjbdxBDKtI1JYmbP2qxFw,CVS Pharmacy,240 Newbury Street,Boston,3.0,25,1,104,136,0.43333,42.3495,-71.0819
-PBAG7L0zQ7PfnT7LdzHLA,Sun-Ah's Cafe,503 Washington St,Boston,3.5,6,0,24,164,0.12766,42.2940329,-71.0720442
-Qg0OVcQWSqfbTBLmzX75A,Copley Flair,583 Boylston St,Boston,3.5,20,0,16,4,0.8,42.3502818,-71.0766972
-RjSyGMU0wZrpahALI5bMw,Bee's Knees Supply Company,1316 Commonwealth Ave,Allston,3.0,120,0,40,40,0.5,42.3483638,-71.1344138
-S_m_GBqkGEjABeO0FaxzA,State Street Provisions,255 State St,Boston,4.0,520,1,140,144,0.49296,42.3593857,-71.0513553
-TPPnaxqtBUvRLEApMRNdg,Match,94 Massachusetts Ave,Boston,3.0,258,0,60,156,0.27778,42.3483607,-71.0880329
-Tin7CjW4ZdE2uciSWnG0Q,Spukies'n Pizza,1159 Washington St,Dorchester,4.0,41,1,464,884,0.34421,42.2722187463,-71.0688403922
-WCdI2Uk0W4c1gjxB37ruQ,Subway,350 Longwood Ave,Boston,2.5,14,1,108,260,0.29348,42.3386237,-71.1072353
-YYMI55-yFtciCdvO0wz_Q,The Joint,605 Centre St,Boston,4.0,22,1,4,180,0.02174,42.3147363,-71.1142426
-Yt1oOD4xufkz6lIjm_XCA,Crystal,20 Linden St,Allston,2.5,16,1,40,64,0.38462,42.3555024288,-71.1309472693
-anddDXPbl7ccaPUgBKffA,Rizzo's Pizza,347 Centre St,Jamaica Plain,3.5,33,1,240,296,0.44776,42.3227626,-71.1064392
-bknA6O_8D3iG9H2fd0TOw,Nanning Wok,465 W Broadway,Boston,2.5,43,0,404,1140,0.26166,42.3357322,-71.046361
-dC67tueQ-cYCFizG9xcnA,Boston Fenway Inn,12 Hemenway St,Boston,3.5,5,1,20,4,0.83333,42.3463684,-71.0888214
-dyaWHa-RhofzII6R7NnaQ,Sorelle Bakery & Cafe,100 Northern Ave,Boston,3.0,21,1,84,112,0.42857,42.3523787,-71.0433696
-gbgBe9mxp7uFIUjrc1yxQ,Moon Flower House,110 Brighton Ave,Boston,4.5,121,1,48,124,0.27907,42.3526526,-71.1304195
-gnp3KxKQQoV54wxR9YaBg,Ell-Bern Self-Serv Gas,584 Columbus Ave,Roxbury,1.5,7,1,68,100,0.40476,42.3402086,-71.0818519
-ohmG6K71AxLLf5u2bQ8JA,Supreme Pizza,177 Massachusetts Ave,Boston,3.0,132,1,92,264,0.25843,42.345817,-71.087358
-p9F79UO0SUYSEhMC0ZLKw,Anna's Taqueria,242 Cambridge St,Boston,3.5,384,1,188,356,0.34559,42.3610414266,-71.0679904717
-r3_DVHbUeJdSYv3seiv4w,honeygrow,100 Northern Ave,Boston,3.5,57,1,100,116,0.46296,42.3521912518,-71.043604903
-tX12XNiWrK89j1pyBOBUg,SoWa Winter Festival,500 Harrison Ave,Boston,3.0,21,1,28,28,0.5,42.342101,-71.065894
-uPcDd5ulyWh4iZm--LY-Q,Peach Farm,4 Tyler St,Boston,3.0,541,1,340,408,0.45455,42.3511562,-71.0604407
-wB-P4r8knsWw17CTXRamQ,La Casa Del Pandebono,271 Meridian St,Boston,5.0,26,1,136,132,0.50746,42.3762785,-71.0389397
-wY1laWJS5aC4Ycyl7V5yg,Life is Good,285 Newbury St,Boston,3.0,19,0,4,4,0.5,42.3490307,-71.0846734
0-t94gA9dgEoqIaE5FNokA,Nix's Mate,89 Broad St,Boston,3.0,139,0,96,164,0.36923,42.3574059,-71.0531973
00auKm-dnzG62uRQahOUhg,Ashur Restaurant,291 Roxbury St,Boston,4.0,52,1,0,8,0.0,42.3304041,-71.0943113
01sx-Pd8o_R9UGE20vPpSA,Rabottini's Pizza Pop Up,182 Western Ave,Allston,4.5,31,0,0,8,0.0,42.3631875,-71.1297881
05hDm5BdZedOjIrXx3dokA,Souper Bowl,1 Brighton Ave,Boston,3.0,20,1,200,196,0.50505,42.352365,-71.125261
06eY-W4sjDQjhVDjnhJi4Q,Café 47,47 Massachusetts Ave,Boston,3.5,126,0,68,100,0.40476,42.3498513,-71.0891662
06feX4qEHFMcPZsiWtvYfw,Thinking Cup,85 Newbury St,Boston,4.0,808,1,200,492,0.28902,42.351734691,-71.0746758945
09UTOsEwCbtOiN4r5t3UOw,Harpoon Tap Room,1 Harborside Dr,Boston,2.5,127,0,136,132,0.50746,42.3639684412,-71.0250102395
0AOdsO0aRRRlwxH_MGeoWg,Suya Joint All African Cuisine,185 Dudley St,Roxbury,3.5,100,1,216,380,0.36242,42.3283291,-71.0818577
0C9RCzBtegw6uuSfHc6b3Q,Boston Living Center,29 Stanhope St,Boston,4.5,11,1,296,496,0.37374,42.3485979,-71.0730304
0DeCEy6OAsDkh4S8o_dJ_A,Starbucks,30 Rowes Wharf,Boston,4.0,13,1,12,8,0.6,42.356664,-71.050479
0EILBP5TxMPujUxkAfjAaA,Ben & Jerry’s,174 Newbury St,Boston,4.0,91,1,184,228,0.4466,42.3503033,-71.0789712
0JmI7_Z2PAWOm-i0BvJt-g,Tom English's Cottage,118 Emerson St,Boston,4.0,38,1,216,560,0.27835,42.3358629,-71.0404079
0KQPHFXqOj4LhZCrlH7GXw,Teriyaki House,32 W Broadway,Boston,3.0,339,1,544,1248,0.30357,42.3427363,-71.0563464
0KxoDZxujvoPySxxPHMIag,Turkuaz Market,16 Brighton Ave,Allston,4.5,22,1,140,164,0.46053,42.3520849,-71.1258892
0OXysDMAdMzDj2iW0zacKw,Falafel King,260 Washington St,Boston,4.0,234,1,160,228,0.41237,42.3578462497,-71.0578912497
0PhIcyf4w2ZgESuMdN6Ebw,Mashawi Grill,157 Sutherland Rd,Brighton,3.0,55,0,56,100,0.35897,42.3410625,-71.1468213
0QBpqLaKqVKlHTSsrqBHdQ,Panera Bread,201 Brookline Ave,Boston,3.0,54,0,100,104,0.4902,42.344637,-71.101502
0Rm-y6HZee9c02TXArpeqw,Tea Forte,91 Newbury St,Boston,4.5,14,1,28,24,0.53846,42.351946,-71.0750564
0UY6UXEedB2_M7vK6pYISQ,Neighborhoods Coffee & Crepes,96 Peterborough St,Boston,4.0,379,0,136,440,0.23611,42.343162,-71.099228
0WBT0uSraXfAu3QQ3HK0mA,Globe Bar and Cafe,384 Boylston St,Boston,3.0,355,0,8,76,0.09524,42.3514228,-71.0719333
0XG9nPtBEmVT7sPlZ67q2g,AutoZone,55 Brighton Ave,Allston,3.0,12,0,20,16,0.55556,42.3528616,-71.1275936
0eEv3NdGrqUFhm0FPXFH-w,Live Noodles,1026 Commonwealth Ave,Boston,3.5,78,0,60,128,0.31915,42.3515709,-71.121967
0ejhwywApMMI99iq5ftTOw,Tapeo,266 Newbury St,Boston,3.5,728,0,136,304,0.30909,42.3491842,-71.0832045
0exn6MoH5MVASUYkEj6XOg,Sun Pizza,46 Washington St,Dorchester,2.5,5,1,240,804,0.22989,42.3070863,-71.082098
0fbJdAPMHQBUGl4aNsg7-Q,Pasta Beach,30 Rowes Wharf,Boston,3.5,273,1,216,316,0.40602,42.3568991,-71.0502635
0goWTmfdgwOe6b-pPPp3Gg,Antonio's Cucina Italiana,288 Cambridge St,Boston,3.5,303,1,160,348,0.31496,42.360946,-71.0681865
0lJZCkGpLFuuJa293ezI6Q,CVS Pharmacy,631 Washington Street,Boston,3.0,35,1,64,72,0.47059,42.352585,-71.062968
